date_time,latitude,longitude,Depth  (km),mag,Location
2023-12-12 15:02:00,8.73,127.43,29,3.3,126  km S 80° E of Cagwait (Surigao Del Sur)
2023-12-12 14:36:00,8.67,127.27,33,3.4,108  km N 72° E of Hinatuan (Surigao Del Sur)
2023-12-12 14:29:00,9.6,126.67,26,2.1,064  km N 56° E of Cortes (Surigao Del Sur)
2023-12-12 14:28:00,8.15,126.73,32,2.3,037  km N 70° E of Lingig (Surigao Del Sur)
2023-12-12 14:22:00,9.7,126.68,8,4.4,058  km S 80° E of General Luna (Surigao Del Norte)
2023-12-12 14:16:00,8.0,126.95,18,3.7,059  km N 67° E of Cateel (Davao Oriental)
2023-12-12 14:08:00,8.51,127.21,29,3.0,097  km N 81° E of Hinatuan (Surigao Del Sur)
2023-12-12 13:58:00,7.82,126.03,35,1.8,002  km S 69° W of Monkayo (Davao De Oro)
2023-12-12 13:47:00,8.34,126.66,14,2.3,035  km S 86° E of Hinatuan (Surigao Del Sur)
2023-12-12 13:42:00,8.47,127.05,27,1.8,080  km N 82° E of Hinatuan (Surigao Del Sur)
2023-12-12 13:28:00,10.42,126.28,22,1.5,050  km N 27° E of Burgos (Surigao Del Norte)
2023-12-12 13:27:00,9.8,126.82,9,2.5,073  km N 88° E of General Luna (Surigao Del Norte)
2023-12-12 13:22:00,8.9,125.51,26,2.8,023  km N 87° E of Cabanglasan (Bukidnon)
2023-12-12 13:02:00,8.72,126.98,22,2.1,075  km S 83° E of Marihatag (Surigao Del Sur)
2023-12-12 12:48:00,8.79,127.31,19,3.1,111  km S 83° E of Cagwait (Surigao Del Sur)
2023-12-12 12:46:00,8.42,126.71,10,2.2,042  km N 81° E of Hinatuan (Surigao Del Sur)
2023-12-12 12:28:00,12.22,120.7,34,1.9,039  km S 47° W of Rizal (Occidental Mindoro)
2023-12-12 12:18:00,8.58,127.09,22,2.4,086  km N 74° E of Hinatuan (Surigao Del Sur)
2023-12-12 12:14:00,12.26,120.75,12,3.3,032  km S 46° W of Rizal (Occidental Mindoro)
2023-12-12 11:43:00,8.69,127.06,1,2.1,088  km N 66° E of Hinatuan (Surigao Del Sur)
2023-12-12 11:34:00,8.68,127.1,11,2.5,091  km S 73° E of Cagwait (Surigao Del Sur)
2023-12-12 11:20:00,8.84,126.67,9,2.8,041  km S 77° E of Cagwait (Surigao Del Sur)
2023-12-12 11:11:00,8.77,127.04,13,4.8,082  km S 79° E of Cagwait (Surigao Del Sur)
2023-12-12 11:06:00,8.73,127.13,1,4.5,093  km S 77° E of Cagwait (Surigao Del Sur)
2023-12-12 10:47:00,8.56,127.03,13,2.6,079  km N 75° E of Hinatuan (Surigao Del Sur)
2023-12-12 10:29:00,8.33,126.68,33,2.1,038  km S 84° E of Hinatuan (Surigao Del Sur)
2023-12-12 10:15:00,9.3,123.1,7,2.1,016  km N 83° W of Valencia (Negros Oriental)
2023-12-12 09:48:00,8.48,126.76,16,3.5,048  km N 75° E of Hinatuan (Surigao Del Sur)
2023-12-12 09:32:00,8.55,127.28,9,2.5,106  km N 79° E of Hinatuan (Surigao Del Sur)
2023-12-12 09:06:00,8.33,126.24,32,1.5,012  km S 68° W of Hinatuan (Surigao Del Sur)
2023-12-12 08:54:00,8.21,127.09,5,2.5,077  km N 76° E of Lingig (Surigao Del Sur)
2023-12-12 08:33:00,8.58,126.56,9,2.2,034  km N 47° E of Hinatuan (Surigao Del Sur)
2023-12-12 08:09:00,8.64,125.5,32,2.1,015  km S 47° W of Las Nieves (Agusan Del Norte)
2023-12-12 08:05:00,8.5,126.3,34,1.9,015  km N 15° W of Hinatuan (Surigao Del Sur)
2023-12-12 07:50:00,8.7,127.06,19,2.4,087  km S 74° E of Cagwait (Surigao Del Sur)
2023-12-12 07:43:00,8.52,127.23,25,4.5,100  km N 80° E of Hinatuan (Surigao Del Sur)
2023-12-12 07:33:00,8.34,126.9,1,3.5,063  km S 88° E of Hinatuan (Surigao Del Sur)
2023-12-12 07:22:00,8.64,127.36,16,3.7,116  km N 75° E of Hinatuan (Surigao Del Sur)
2023-12-12 07:21:00,8.54,127.42,33,2.0,121  km N 81° E of Hinatuan (Surigao Del Sur)
2023-12-12 07:19:00,8.41,126.79,1,3.2,051  km N 85° E of Hinatuan (Surigao Del Sur)
2023-12-12 06:50:00,8.32,126.13,20,2.0,016  km S 63° E of Rosario (Agusan Del Sur)
2023-12-12 06:37:00,8.57,127.2,1,2.4,097  km N 77° E of Hinatuan (Surigao Del Sur)
2023-12-12 06:26:00,8.55,126.84,12,2.7,059  km N 70° E of Hinatuan (Surigao Del Sur)
2023-12-12 06:13:00,8.51,126.81,2,3.7,054  km N 73° E of Hinatuan (Surigao Del Sur)
2023-12-12 06:05:00,9.22,127.21,30,2.6,106  km N 72° E of Cagwait (Surigao Del Sur)
2023-12-12 06:01:00,8.55,126.97,1,3.5,073  km N 74° E of Hinatuan (Surigao Del Sur)
2023-12-12 05:57:00,18.08,122.42,20,3.6,049  km S 66° E of Gonzaga (Cagayan)
2023-12-12 05:47:00,8.57,126.99,1,4.3,076  km N 73° E of Hinatuan (Surigao Del Sur)
2023-12-12 05:37:00,8.78,126.45,33,1.8,022  km N 47° E of Cagwait (Surigao Del Sur)
2023-12-12 05:29:00,13.75,120.57,90,1.4,011  km S 35° W of Calatagan (Batangas)
2023-12-12 05:17:00,9.44,126.65,5,2.8,054  km N 70° E of Cortes (Surigao Del Sur)
2023-12-12 05:07:00,8.34,126.79,6,1.7,050  km S 87° E of Hinatuan (Surigao Del Sur)
2023-12-12 04:35:00,12.42,120.81,11,3.2,017  km S 76° W of Rizal (Occidental Mindoro)
2023-12-12 04:27:00,8.4,126.83,13,3.7,054  km N 87° E of Hinatuan (Surigao Del Sur)
2023-12-12 04:25:00,8.38,127.05,1,2.9,078  km N 89° E of Hinatuan (Surigao Del Sur)
2023-12-12 04:11:00,8.31,126.46,32,2.3,014  km S 66° E of Hinatuan (Surigao Del Sur)
2023-12-12 04:10:00,9.01,126.8,30,1.4,056  km N 80° E of Cagwait (Surigao Del Sur)
2023-12-12 04:04:00,8.61,126.27,31,1.5,016  km S 20° E of San Agustin (Surigao Del Sur)
2023-12-12 04:00:00,9.14,126.4,21,1.5,022  km N 33° E of Bayabas (Surigao Del Sur)
2023-12-12 03:46:00,8.58,127.04,8,3.0,081  km N 73° E of Hinatuan (Surigao Del Sur)
2023-12-12 03:39:00,9.41,126.7,26,2.4,058  km N 75° E of Cortes (Surigao Del Sur)
2023-12-12 03:33:00,11.9,120.73,20,1.8,062  km S 37° W of San Jose (Occidental Mindoro)
2023-12-12 03:26:00,8.38,126.39,20,4.0,006  km N 79° E of Hinatuan (Surigao Del Sur)
2023-12-12 03:14:00,8.47,126.66,32,2.0,038  km N 72° E of Hinatuan (Surigao Del Sur)
2023-12-12 03:06:00,8.5,127.28,22,3.2,105  km N 82° E of Hinatuan (Surigao Del Sur)
2023-12-12 03:05:00,8.54,126.49,3,1.5,026  km N 41° E of Hinatuan (Surigao Del Sur)
2023-12-12 03:01:00,8.91,123.02,10,2.0,017  km S 05° W of Siaton (Negros Oriental)
2023-12-12 02:57:00,8.51,126.59,12,2.1,032  km N 62° E of Hinatuan (Surigao Del Sur)
