date_time,latitude,longitude,Depth  (km),mag,Location,Cluster
2023-12-10 04:28:00,8.46,126.74,5,1.7,045  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-10 03:06:00,8.46,126.85,82,2.4,058  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:38:00,8.43,126.76,25,1.6,047  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:33:00,8.47,126.65,30,1.8,037  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:16:00,8.43,126.59,29,1.8,029  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:10:00,8.4,126.7,4,1.9,040  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:03:00,8.42,126.59,26,1.8,028  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-10 01:50:00,8.42,126.74,10,3.4,044  km N 83° E of Hinatuan (Surigao Del Sur),0
2023-12-10 01:22:00,8.49,126.87,19,2.1,061  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-09 23:48:00,8.36,126.88,6,3.1,059  km S 89° E of Hinatuan (Surigao Del Sur),0
2023-12-09 23:35:00,8.44,126.63,22,2.3,033  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-09 23:16:00,8.51,126.7,9,3.1,043  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-09 22:51:00,8.36,126.84,12,1.4,055  km S 90° E of Hinatuan (Surigao Del Sur),0
2023-12-09 22:24:00,8.36,126.78,8,2.7,049  km S 89° E of Hinatuan (Surigao Del Sur),0
2023-12-09 21:52:00,8.54,126.79,26,2.3,053  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-09 21:46:00,8.52,126.75,4,2.6,049  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-09 21:36:00,8.38,126.73,8,2.8,044  km N 88° E of Hinatuan (Surigao Del Sur),0
2023-12-09 21:05:00,8.46,126.7,7,1.7,041  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-09 20:57:00,8.4,126.79,1,2.0,050  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-09 20:21:00,8.5,126.76,3,3.3,049  km N 72° E of Hinatuan (Surigao Del Sur),0
2023-12-09 20:17:00,8.44,126.72,11,2.6,043  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-09 20:05:00,8.44,126.68,5,2.3,038  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-09 19:56:00,8.42,126.82,9,2.1,053  km N 83° E of Hinatuan (Surigao Del Sur),0
2023-12-09 19:39:00,8.5,126.83,5,1.8,056  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-09 19:06:00,8.42,126.81,13,2.2,053  km N 84° E of Hinatuan (Surigao Del Sur),0
2023-12-09 18:22:00,8.51,126.77,7,1.8,050  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-09 17:37:00,8.44,126.78,1,3.2,050  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-09 17:04:00,8.38,126.87,8,2.2,058  km N 89° E of Hinatuan (Surigao Del Sur),0
2023-12-09 15:47:00,8.31,126.91,19,2.5,064  km S 84° E of Hinatuan (Surigao Del Sur),0
2023-12-09 14:56:00,8.45,126.62,26,1.9,032  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-09 14:46:00,8.42,126.86,15,2.6,058  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-09 14:39:00,8.46,126.67,10,2.0,038  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-09 12:24:00,8.47,126.7,11,2.1,041  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-09 12:02:00,8.44,126.65,1,3.1,035  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-09 11:45:00,8.38,126.81,22,2.5,052  km N 88° E of Hinatuan (Surigao Del Sur),0
2023-12-09 10:32:00,8.43,126.72,7,2.0,043  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-09 10:04:00,8.31,126.75,15,2.0,046  km S 82° E of Hinatuan (Surigao Del Sur),0
